Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
03/1968; - ;2,366787E-011; - 
04/1968; - ;2,419285E-011; - 
05/1968; - ;2,455749E-011; - 
06/1968; - ;2,521694E-011; - 
07/1968; - ;2,557382E-011; - 
08/1968; - ;2,587898E-011; - 
09/1968; - ;2,635223E-011; - 
10/1968; - ;2,694703E-011; - 
11/1968; - ;2,734787E-011; - 
12/1968; - ;2,752631E-011; - 
01/1969; - ;2,799181E-011; - 
02/1969; - ;2,839007E-011; - 
03/1969; - ;2,854006E-011; - 
04/1969; - ;2,889953E-011; - 
05/1969; - ;2,923055E-011; - 
06/1969; - ;2,986414E-011; - 
07/1969; - ;3,055204E-011; - 
08/1969; - ;3,106926E-011; - 
09/1969; - ;3,175457E-011; - 
10/1969; - ;3,227349E-011; - 
11/1969; - ;3,274671E-011; - 
12/1969; - ;3,284136E-011; - 
01/1970; - ;3,325148E-011; - 
02/1970; - ;3,372470E-011; - 
03/1970; - ;3,437143E-011; - 
04/1970; - ;3,448185E-011; - 
05/1970; - ;3,503393E-011; - 
06/1970; - ;3,580686E-011; - 
07/1970; - ;3,642204E-011; - 
08/1970; - ;3,725806E-011; - 
09/1970; - ;3,799944E-011; - 
10/1970; - ;3,856730E-011; - 
11/1970; - ;3,886700E-011; - 
12/1970; - ;3,916671E-011; - 
01/1971; - ;3,979767E-011; - 
02/1971; - ;4,041285E-011; - 
03/1971; - ;4,121732E-011; - 
04/1971; - ;4,193097E-011; - 
05/1971; - ;4,270107E-011; - 
06/1971; - ;4,367634E-011; - 
07/1971; - ;4,432798E-011; - 
08/1971; - ;4,473919E-011; - 
09/1971; - ;4,538280E-011; - 
10/1971; - ;4,593537E-011; - 
11/1971; - ;4,640343E-011; - 
12/1971; - ;4,679214E-011; - 
01/1972; - ;4,756997E-011; - 
02/1972; - ;4,850486E-011; - 
03/1972; - ;4,928942E-011; - 
04/1972; - ;4,981952E-011; - 
05/1972; - ;5,024857E-011; - 
06/1972; - ;5,078807E-011; - 
07/1972; - ;5,148821E-011; - 
08/1972; - ;5,222296E-011; - 
09/1972; - ;5,280695E-011; - 
10/1972; - ;5,330181E-011; - 
11/1972; - ;5,376510E-011; - 
12/1972; - ;5,414860E-011; - 
01/1973; - ;5,504442E-011; - 
02/1973; - ;5,568511E-011; - 
03/1973; - ;5,648524E-011; - 
04/1973; - ;5,730527E-011; - 
05/1973; - ;5,791222E-011; - 
06/1973; - ;5,845342E-011; - 
07/1973; - ;5,905547E-011; - 
08/1973; - ;5,964994E-011; - 
09/1973; - ;6,026653E-011; - 
10/1973; - ;6,114946E-011; - 
11/1973; - ;6,190713E-011; - 
12/1973; - ;6,256542E-011; - 
01/1974; - ;6,440140E-011; - 
02/1974; - ;6,611328E-011; - 
03/1974; - ;6,909536E-011; - 
04/1974; - ;7,264450E-011; - 
05/1974; - ;7,519365E-011; - 
06/1974; - ;7,668303E-011; - 
07/1974; - ;7,759410E-011; - 
08/1974; - ;7,859423E-011; - 
09/1974; - ;7,989667E-011; - 
10/1974; - ;8,109841E-011; - 
11/1974; - ;8,237055E-011; - 
12/1974; - ;8,417930E-011; - 
01/1975; - ;8,606051E-011; - 
02/1975; - ;8,801528E-011; - 
03/1975; - ;8,939904E-011; - 
04/1975; - ;9,100344E-011; - 
05/1975; - ;9,293923E-011; - 
06/1975; - ;9,500650E-011; - 
07/1975; - ;9,701259E-011; - 
08/1975; - ;9,971708E-011; - 
09/1975; - ;1,020188E-010; - 
10/1975; - ;1,043168E-010; - 
11/1975; - ;1,065641E-010; - 
12/1975; - ;1,088875E-010; - 
01/1976; - ;1,122558E-010; - 
02/1976; - ;1,169144E-010; - 
03/1976; - ;1,212282E-010; - 
04/1976; - ;1,257819E-010; - 
05/1976; - ;1,300660E-010; - 
06/1976; - ;1,335386E-010; - 
07/1976; - ;1,386233E-010; - 
08/1976; - ;1,443009E-010; - 
09/1976; - ;1,492551E-010; - 
10/1976; - ;1,527711E-010; - 
11/1976; - ;1,556813E-010; - 
12/1976; - ;1,592548E-010; - 
01/1977; - ;1,652064E-010; - 
02/1977; - ;1,704398E-010; - 
03/1977; - ;1,775158E-010; - 
04/1977; - ;1,847523E-010; - 
05/1977; - ;1,913695E-010; - 
06/1977; - ;1,951271E-010; - 
07/1977; - ;1,991574E-010; - 
08/1977; - ;2,017426E-010; - 
09/1977; - ;2,053165E-010; - 
10/1977; - ;2,109450E-010; - 
11/1977; - ;2,164515E-010; - 
12/1977; - ;2,210135E-010; - 
01/1978; - ;2,268921E-010; - 
02/1978; - ;2,346064E-010; - 
03/1978; - ;2,423365E-010; - 
04/1978; - ;2,504698E-010; - 
05/1978; - ;2,585073E-010; - 
06/1978; - ;2,678934E-010; - 
07/1978; - ;2,754540E-010; - 
08/1978; - ;2,828000E-010; - 
09/1978; - ;2,900214E-010; - 
10/1978; - ;2,983457E-010; - 
11/1978; - ;3,065498E-010; - 
12/1978; - ;3,112070E-010; - 
01/1979; - ;3,226508E-010; - 
02/1979; - ;3,347431E-010; - 
03/1979; - ;3,540710E-010; - 
04/1979; - ;3,674342E-010; - 
05/1979; - ;3,760308E-010; - 
06/1979; - ;3,889879E-010; - 
07/1979; - ;4,059408E-010; - 
08/1979; - ;4,296261E-010; - 
09/1979; - ;4,626804E-010; - 
10/1979; - ;4,869682E-010; - 
11/1979; - ;5,140737E-010; - 
12/1979; - ;5,516021E-010; - 
01/1980; - ;5,860237E-010; - 
02/1980; - ;6,106183E-010; - 
03/1980; - ;6,507523E-010; - 
04/1980; - ;6,880058E-010; - 
05/1980; - ;7,319770E-010; - 
06/1980; - ;7,749001E-010; - 
07/1980; - ;8,403514E-010; - 
08/1980; - ;8,984787E-010; - 
09/1980; - ;9,459265E-010; - 
10/1980; - ;1,018261E-009; - 
11/1980; - ;1,095140E-009; - 
12/1980; - ;1,159685E-009; - 
01/1981; - ;1,235792E-009; - 
02/1981; - ;1,340589E-009; - 
03/1981; - ;1,439346E-009; - 
04/1981; - ;1,518076E-009; - 
05/1981; - ;1,612085E-009; - 
06/1981; - ;1,684094E-009; - 
07/1981; - ;1,769604E-009; - 
08/1981; - ;1,888716E-009; - 
09/1981; - ;1,984500E-009; - 
10/1981; - ;2,070886E-009; - 
11/1981; - ;2,180857E-009; - 
12/1981; - ;2,263660E-009; - 
01/1982; - ;2,405944E-009; - 
02/1982; - ;2,570738E-009; - 
03/1982; - ;2,756555E-009; - 
04/1982; - ;2,904293E-009; - 
05/1982; - ;3,082020E-009; - 
06/1982; - ;3,328349E-009; - 
07/1982; - ;3,529973E-009; - 
08/1982; - ;3,734755E-009; - 
09/1982; - ;3,871382E-009; - 
10/1982; - ;4,056442E-009; - 
11/1982; - ;4,259352E-009; - 
12/1982; - ;4,520998E-009; - 
01/1983; - ;4,929945E-009; - 
02/1983; - ;5,251314E-009; - 
03/1983; - ;5,781023E-009; - 
04/1983; - ;6,312661E-009; - 
05/1983; - ;6,716671E-009; - 
06/1983; - ;7,563319E-009; - 
07/1983; - ;8,569628E-009; - 
08/1983; - ;9,436254E-009; - 
09/1983; - ;1,064332E-008; - 
10/1983; - ;1,205508E-008; - 
11/1983; - ;1,307183E-008; - 
12/1983; - ;1,405993E-008; - 
01/1984; - ;1,543970E-008; - 
02/1984; - ;1,733245E-008; - 
03/1984; - ;1,905728E-008; - 
04/1984; - ;2,076101E-008; - 
05/1984; - ;2,260046E-008; - 
06/1984; - ;2,469085E-008; - 
07/1984; - ;2,723872E-008; - 
08/1984; - ;3,013206E-008; - 
09/1984; - ;3,329869E-008; - 
10/1984; - ;3,748743E-008; - 
11/1984; - ;4,118964E-008; - 
12/1984; - ;4,552771E-008; - 
01/1985; - ;5,128074E-008; - 
02/1985; - ;5,649185E-008; - 
03/1985; - ;6,367097E-008; - 
04/1985; - ;6,826570E-008; - 
05/1985; - ;7,357849E-008; - 
06/1985; - ;7,935015E-008; - 
07/1985; - ;8,642482E-008; - 
08/1985; - ;9,852312E-008; - 
09/1985; - ;1,075208E-007; - 
10/1985; - ;1,172484E-007; - 
11/1985; - ;1,347772E-007; - 
12/1985; - ;1,525661E-007; - 
01/1986; - ;1,797041E-007; - 
02/1986; - ;2,066224E-007; - 
03/1986; - ;2,180345E-007; - 
04/1986; - ;2,167655E-007; - 
05/1986; - ;2,174589E-007; - 
06/1986; - ;2,186079E-007; - 
07/1986; - ;2,199903E-007; - 
08/1986; - ;2,229207E-007; - 
09/1986; - ;2,253561E-007; - 
10/1986; - ;2,284805E-007; - 
11/1986; - ;2,340906E-007; - 
12/1986; - ;2,517841E-007; - 
01/1987; - ;2,820931E-007; - 
02/1987; - ;3,218866E-007; - 
03/1987; - ;3,701659E-007; - 
04/1987; - ;4,444787E-007; - 
05/1987; - ;5,670751E-007; - 
06/1987; - ;7,138059E-007; - 
